# Time (s),Position East of launch (ft),Position North of launch (ft),Vertical acceleration (ft/s²),Lateral acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Air temperature (°F),Air pressure (mbar)
0,0,0,0,0,86.001,0,0,0,96.465,913.9
0.009,0,0,0,0,86.001,0,0,0,96.465,913.9
0.019,1.579e-4,-1.579e-4,161.319,13.396,83.537,0,0,0,96.465,913.9
0.029,0.001,-0.001,353.005,26.795,74.656,0,0,0,96.463,913.9
0.039,0.003,-0.003,545.02,38.11,60.848,0,0,0,96.463,913.9
0.044,0.007,-0.007,641.017,44.823,53.228,0,0,0,96.463,913.9
0.051,0.013,-0.013,627.359,43.868,43.602,0,0,0,96.463,913.9
0.063,0.023,-0.023,606.378,42.402,33.747,0,0,0,96.463,913.9
0.073,0.036,-0.036,617.267,43.163,27.96,0,0,0,96.463,913.9
0.078,0.043,-0.043,622.717,43.543,25.726,0,0,0,96.463,913.9
0.086,0.056,-0.056,610.42,42.684,22.918,0,0,0,96.462,913.9
0.094,0.072,-0.072,596.467,41.709,20.397,0,0,0,96.462,913.9
0.104,0.095,-0.095,606.709,42.425,18.048,0,0,0,96.462,913.9
0.109,0.108,-0.108,611.837,42.785,17.017,0,0,0,96.46,913.9
0.117,0.128,-0.128,602.224,42.113,15.699,0,0,0,96.46,913.9
0.125,0.154,-0.154,591.316,41.348,14.381,0,0,0,96.458,913.9
0.135,0.184,-0.184,593.602,41.509,13.121,0,0,0,96.458,913.9
0.147,0.226,-0.226,596.355,41.703,11.86,0,0,0,96.456,913.9
0.157,0.266,-0.266,595.633,41.65,10.943,0,0,0,96.454,913.9
0.167,0.305,-0.305,594.908,41.601,10.084,0,0,0,96.453,913.9
0.177,0.351,-0.351,594.18,41.549,9.339,0,0,0,96.451,913.9
0.187,0.397,-0.397,593.448,41.499,8.652,0,0,0,96.449,913.8
0.194,0.433,-0.433,592.936,41.463,8.251,0,0,0,96.447,913.8
0.204,0.482,-0.482,595.154,41.617,7.678,0,0,0,96.445,913.8
0.214,0.538,-0.538,597.375,41.772,7.219,0,0,0,96.444,913.8
0.224,0.597,-0.597,599.6,41.929,6.818,0,0,0,96.442,913.8
0.234,0.656,-0.656,601.804,42.372,6.417,0,0,0,96.44,913.8
0.249,0.755,-0.755,605.151,42.549,5.901,0,4.775e-4,-2.769e-8,96.436,913.8
0.272,0.912,-0.912,610.174,42.897,5.214,0,0.001,-6.275e-8,96.429,913.7
0.305,1.178,-1.178,617.717,43.57,4.412,0,0.003,-3.493e-7,96.42,913.7
0.35,1.585,-1.585,627.736,44.587,3.953,0,0.005,-5.901e-7,96.404,913.6
0.4,2.113,-2.113,648.94,47.707,2.922,0,0.008,-1.528e-6,96.384,913.4
0.428,2.448,-2.448,660.86,49.564,2.636,0,0.01,-2.217e-6,96.372,913.4
0.47,2.999,-2.999,669.144,52.129,2.349,0,0.013,-2.478e-6,96.352,913.2
0.52,3.74,-3.74,678.953,56.158,1.948,0,0.017,-4.638e-6,96.323,913.1
0.563,4.455,-4.455,687.326,60.597,1.604,0,0.021,-5.566e-6,96.298,912.9
0.613,5.39,-5.39,694.544,66.713,1.203,0,0.025,-1.189e-5,96.264,912.7
0.663,6.44,-6.444,701.532,74.793,0.573,0,0.028,-3.767e-5,96.228,912.5
0.694,7.159,-7.162,705.725,80.764,0.029,0,0.028,-9.549e-4,96.202,912.3
0.74,8.337,-8.343,710.456,88.93,0.401,0,-0.028,-7.565e-5,96.163,912.1
0.79,9.76,-9.764,715.453,97.575,0.802,0,-0.024,-4.181e-5,96.118,911.8
0.84,11.352,-11.358,720.459,105.351,1.089,0,-0.018,-3.083e-5,96.069,911.5
0.891,13.13,-13.14,725.719,110.787,1.203,0,-0.009,-2.375e-5,96.017,911.2
0.941,15.105,-15.115,731.457,112.513,1.031,0,0.001,-2.532e-5,95.961,910.9
0.988,17.165,-17.175,737.365,110.666,0.745,0,0.01,-2.51e-5,95.905,910.5
1.038,19.521,-19.534,741.68,105.469,0.401,0,0.017,-3.267e-5,95.842,910.1
1.088,22.064,-22.08,746.076,98.494,8.697e-4,0,0.018,-0.006,95.778,909.7
1.138,24.78,-24.8,750.292,91.453,0.286,0,-0.017,6.828e-7,95.707,909.3
1.188,27.661,-27.684,754.111,86.033,0.516,0,-0.009,7.273e-6,95.635,908.8
