# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Vertical orientation (zenith) (rad),Air temperature (K),Air pressure (Pa)
0,0,0,0,0,0,1.501,308.964,9.139e4
0.009,0,0,0,0,0,1.501,308.964,9.139e4
0.019,49.17,4.083,0,0,0,1.501,308.964,9.139e4
0.029,107.596,8.167,0,0,0,1.501,308.963,9.139e4
0.039,166.122,11.616,0,0,0,1.501,308.963,9.139e4
0.044,195.382,13.662,0,0,0,1.501,308.963,9.139e4
0.051,191.219,13.371,0,0,0,1.501,308.963,9.139e4
0.063,184.824,12.924,0,0,0,1.501,308.963,9.139e4
0.073,188.143,13.156,0,0,0,1.501,308.963,9.139e4
0.078,189.804,13.272,0,0,0,1.501,308.963,9.139e4
0.086,186.056,13.01,0,0,0,1.501,308.962,9.139e4
0.094,181.803,12.713,0,0,0,1.501,308.962,9.139e4
0.104,184.925,12.931,0,0,0,1.501,308.962,9.139e4
0.109,186.488,13.041,0,0,0,1.501,308.961,9.139e4
0.117,183.558,12.836,0,0,0,1.501,308.961,9.139e4
0.125,180.233,12.603,0,0,0,1.501,308.96,9.139e4
0.135,180.93,12.652,0,0,0,1.501,308.96,9.139e4
0.147,181.769,12.711,0,0,0,1.501,308.959,9.139e4
0.157,181.549,12.695,0,0,0,1.501,308.958,9.139e4
0.167,181.328,12.68,0,0,0,1.501,308.957,9.139e4
0.177,181.106,12.664,0,0,0,1.501,308.956,9.139e4
0.187,180.883,12.649,0,0,0,1.501,308.955,9.138e4
0.194,180.727,12.638,0,0,0,1.501,308.954,9.138e4
0.204,181.403,12.685,0,0,0,1.501,308.953,9.138e4
0.214,182.08,12.732,0,0,0,1.501,308.952,9.138e4
0.224,182.758,12.78,0,0,0,1.501,308.951,9.138e4
0.234,183.43,12.915,0,0,0,1.501,308.95,9.138e4
0.249,184.45,12.969,0,0.003,-1.74e-7,1.501,308.948,9.138e4
0.272,185.981,13.075,0,0.009,-3.943e-7,1.501,308.944,9.137e4
0.305,188.28,13.28,0,0.019,-2.195e-6,1.5,308.939,9.137e4
0.35,191.334,13.59,0,0.034,-3.708e-6,1.499,308.93,9.136e4
0.4,197.797,14.541,0,0.053,-9.603e-6,1.497,308.919,9.134e4
0.428,201.43,15.107,0,0.064,-1.393e-5,1.495,308.912,9.134e4
0.47,203.955,15.889,0,0.083,-1.557e-5,1.492,308.901,9.132e4
0.52,206.945,17.117,0,0.107,-2.914e-5,1.488,308.885,9.131e4
0.563,209.497,18.47,0,0.129,-3.497e-5,1.482,308.871,9.129e4
0.613,211.697,20.334,0,0.155,-7.473e-5,1.475,308.852,9.127e4
0.663,213.827,22.797,0,0.175,-2.367e-4,1.467,308.832,9.125e4
0.694,215.105,24.617,0,0.179,-0.006,1.462,308.818,9.123e4
0.74,216.547,27.106,0,-0.173,-4.753e-4,1.453,308.796,9.121e4
0.79,218.07,29.741,0,-0.151,-2.627e-4,1.445,308.771,9.118e4
0.84,219.596,32.111,0,-0.112,-1.937e-4,1.439,308.744,9.115e4
0.891,221.199,33.768,0,-0.056,-1.492e-4,1.434,308.715,9.112e4
0.941,222.948,34.294,0,0.007,-1.591e-4,1.433,308.684,9.109e4
0.988,224.749,33.731,8.589e-9,0.063,-1.577e-4,1.435,308.653,9.105e4
1.038,226.064,32.147,1.214e-8,0.104,-2.053e-4,1.439,308.618,9.101e4
1.088,227.404,30.021,8.922e-9,0.113,-0.04,1.445,308.582,9.097e4
1.138,228.689,27.875,1.363e-8,-0.104,4.29e-6,1.451,308.543,9.093e4
1.188,229.853,26.223,-1.086e-8,-0.059,4.57e-5,1.455,308.503,9.088e4
1.238,230.825,25.762,1.639e-8,0.004,5.011e-5,1.456,308.46,9.084e4
1.266,231.27,26.153,1.189e-8,0.04,4.423e-5,1.455,308.435,9.081e4
1.308,232.23,27.571,9.721e-9,0.082,1.025e-4,1.453,308.397,9.077e4
1.358,233.187,29.989,2.388e-8,-0.103,-1.406e-4,1.448,308.35,9.072e4
1.408,233.952,32.725,1.426e-8,-0.071,-7.591e-5,1.444,308.276,9.064e4
1.458,234.768,33.501,-3.762e-8,-0.007,-8.728e-5,1.442,308.14,9.049e4
1.491,235.277,33.075,-3.424e-8,0.032,-1.208e-4,1.442,308.047,9.039e4
1.541,234.379,31.481,-5.964e-8,0.069,-1.064e-4,1.445,307.903,9.023e4
1.581,233.83,29.627,-6.051e-8,-0.07,4.452e-5,1.448,307.781,9.01e4
1.631,231.094,27.179,-5.286e-8,-0.021,2.793e-5,1.45,307.626,8.994e4
1.641,230.512,26.875,-5.377e-8,-0.004,3.448e-5,1.45,307.595,8.99e4
1.656,230.053,26.829,-5.785e-8,0.023,3.98e-5,1.45,307.547,8.985e4
1.679,229.218,27.553,-5.16e-8,0.059,2.57e-5,1.449,307.474,8.977e4
1.684,229,27.814,-5.16e-8,0.066,3.135e-5,1.449,307.456,8.975e4
1.692,227.502,28.11,-5.179e-8,0.074,3.118e-5,1.448,307.429,8.973e4
1.705,225.244,28.569,-5.163e-8,0.082,-3.618e-5,1.447,307.388,8.968e4
1.716,223.166,28.941,-5.156e-8,0.086,-2.306e-4,1.446,307.35,8.964e4
1.733,222.065,29.772,-5.15e-8,-0.084,-1.982e-4,1.445,307.293,8.958e4
1.759,220.48,30.853,-4.653e-8,-0.066,-8.721e-5,1.443,307.206,8.949e4
1.784,218.973,31.417,-3.793e-8,-0.035,-8.224e-5,1.442,307.119,8.939e4
1.822,215.322,30.704,-3.185e-8,0.017,-8.538e-5,1.441,306.986,8.925e4
1.872,210.796,28.412,-6.496e-8,0.044,4.922e-4,1.443,306.806,8.906e4
1.922,206.264,26.12,0,-0.025,7.45e-5,1.445,306.622,8.886e4
1.938,204.789,25.548,0,-0.007,5.427e-5,1.445,306.562,8.879e4
1.962,202.905,25.56,1.414e-8,0.023,3.526e-5,1.445,306.471,8.87e4
1.998,199.927,26.851,5.612e-9,-0.042,-0.001,1.444,306.332,8.855e4
2.048,195.885,27.719,-1.956e-8,-0.013,-2.208e-4,1.442,306.136,8.834e4
2.098,192.063,26.605,-4.482e-8,0.027,-3.113e-4,1.443,305.935,8.812e4
2.138,189.059,24.98,-5.321e-8,-0.032,-2.635e-4,1.444,305.771,8.795e4
2.188,187.08,23.557,-1.154e-7,0.004,2.915e-5,1.445,305.563,8.772e4
2.238,184.753,24.713,-1.126e-7,0.038,-8.679e-4,1.443,305.35,8.749e4
2.288,182.46,25.31,-1.243e-7,-0.028,-2.048e-4,1.442,305.133,8.726e4
2.338,180.194,25.579,-1.083e-7,-0.008,-2.812e-5,1.441,304.911,8.702e4
2.388,178.087,24.926,-7.855e-8,0.015,1.388e-5,1.441,304.686,8.678e4
