# Time (s),Altitude (m),Position East of launch (m),Position North of launch (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
0,0,0,0,0,0,0,0,86.001,0,0,0
0.009,0,0,0,0,0,0,0,86.001,0,0,0
0.019,6.659e-4,4.812e-5,-4.812e-5,0.215,49.17,0.02,4.083,83.537,0,0,0
0.029,0.006,3.849e-4,-3.849e-4,0.999,107.596,0.082,8.167,74.656,0,0,0
0.039,0.023,0.001,-0.001,2.367,166.122,0.184,11.616,60.848,0,0,0
0.044,0.037,0.002,-0.002,3.271,195.382,0.247,13.662,53.228,0,0,0
0.051,0.067,0.004,-0.004,4.721,191.219,0.348,13.371,43.602,0,0,0
0.063,0.133,0.007,-0.007,6.883,184.824,0.5,12.924,33.747,0,0,0
0.073,0.212,0.011,-0.011,8.748,188.143,0.63,13.156,27.96,0,0,0
0.078,0.258,0.013,-0.013,9.693,189.804,0.696,13.272,25.726,0,0,0
0.086,0.336,0.017,-0.017,11.102,186.056,0.795,13.01,22.918,0,0,0
0.094,0.437,0.022,-0.022,12.666,181.803,0.904,12.713,20.397,0,0,0
0.104,0.572,0.029,-0.029,14.499,184.925,1.032,12.931,18.048,0,0,0
0.109,0.647,0.033,-0.033,15.428,186.488,1.097,13.041,17.017,0,0,0
0.117,0.768,0.039,-0.039,16.815,183.558,1.194,12.836,15.699,0,0,0
0.125,0.918,0.047,-0.047,18.362,180.233,1.302,12.603,14.381,0,0,0
0.135,1.11,0.056,-0.056,20.167,180.93,1.428,12.652,13.121,0,0,0
0.147,1.365,0.069,-0.069,22.344,181.769,1.581,12.711,11.86,0,0,0
0.157,1.598,0.081,-0.081,24.16,181.549,1.708,12.695,10.943,0,0,0
0.167,1.849,0.093,-0.093,25.975,181.328,1.835,12.68,10.084,0,0,0
0.177,2.117,0.107,-0.107,27.787,181.106,1.961,12.664,9.339,0,0,0
